;Clothing.ID;Age;Title;Review.Text;Rating;Recommended.IND;Positive.Feedback.Count;Division.Name;Department.Name;Class.Name,,,,,,,,,,,,
1;767;33;;Absolutely wonderful - silky and sexy and comfortable;4;1;0;Initmates;Intimate;Intimates,,,,,,,,,,,,
"2;1080;34;;""Love this dress!  it's sooo pretty.  i happened to find it in a store"," and i'm glad i did bc i never would have ordered it online bc it's petite.  i bought a petite and am 5'8"""".  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite."";5;1;4;General;Dresses;Dresses",,,,,,,,,,,
3;1077;60;Some major design flaws;I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c;3;0;0;General;Dresses;Dresses,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"416;1083;37;Flattering and great buy on sale!;""I thought this dress was worth reviewing since my opinion differs from many others.",,,,,,,,,,,,
i agree that the fabric is quite thin compared to what you may be used to with byron lars dresses, but the flattering fit and quality (has a nice built in slip) i found to be what you may expect from the brand. if you go in thinking it's more of a spring/summer dress, you will not be disappointed.,,,,,,,,,,
however," i find the sizing to be slightly off. i usually wear a 2p (i'm 5'2"""")", or a 0 regular.,,,,,,,,,,
"i ordered several size"";4;1;2;General;Dresses;Dresses",,,,,,,,,,,,
417;872;35;I love this shirt;I really love this lace-up shirt, but i only liked it in black on me. i like it open like the model is wearing it, but i had to have it a little more closed because the lace part does go down a ways-and i felt like i was revealing a little too much. i would likely wear it open, but then have to pair it with a cami underneath to feel comfortable. i absolutely love the whole outfit as-pictured, and also reviewed the polka dot pants. i wish the laces were a little longer than they are-if you have i;5;1;14;General;Tops;Knits,,,,,,,,
418;1083;35;Flimsy;I love byron lars dresses, and this design is on-point. the ruffle at the neckline is so pretty, and the dress fits like a dream. however -- the fabric!!! i would have loved it if this dress had a heavier feel. this is, sadly, going back today.;2;0;2;General;Dresses;Dresses,,,,,,,,
"419;831;40;Super comfy;""Love this blouse", it;s super comfy," looks awesome with jeans. this blouse runs true to size i purchased in my normal size small."";5;1;0;General;Tops;Blouses",,,,,,,,,,
420;1080;32;Pretty pattern," weird fit;""I fell in love with this dress when i saw it online and due to the """"slim fit", i ordered a size up -- a 2 petite up from my normal 0 petite. when i received it, i was surprised about two things: 1) the material was kind of puffy (not bad, just weird), and 2) it was too big on top - rare for a petite size - even though it fit everywhere else. i wanted to love it," but had to return. would be gorgeous for someone else!"";3;1;1;General;Dresses;Dresses",,,,,,
421;1077;68;Easy and stylish;I was hesitant based on the reviews, but i'm glad i ordered this dress (in blue). the material is like a french dot texture that is soft but still a bit structured. i had no issues with the fit. it's appropriately just a little oversized. the styling is very mod!;5;1;2;General;Dresses;Dresses,,,,,,,,,,,
422;872;65;;Great feature...perfect lacing...do not need to worry that it is too low since there is material behind the bottom of the lacing. like 3/4 length sleeve. gives top the right proportion.;4;1;0;General;Tops;Knits,,,,,,,,,,,,
"423;964;37;Very versatile;""I purchased this jacket in green", x-small a while back and wasn?t 100% sure about it due to the size. i?m 5?3?, 117 lbs and a 33a and thought it was a little snug so i tried on the small and that was way too big so i kept the xs. i have worn it a few times and it does look great however i can only wear thin tops with it. recently i purchased the black, x-small and this i love. it?s looser then the green so i can get away with thicker tops. ,,,,,,,,,
"i do recommend both jackets. they are pricey for what"";5;1;2;General;Jackets;Jackets",,,,,,,,,,,,
"424;1089;39;Small boobies only;""I love this dress", i mean it si really pretty in person, however, the breast area is just too small... i can't wear a bra with it," and my """"older"""" breasts just droop", not flattering. they are barely covered... i am a bit disappointed at that, but if you are smaller up there, i say give it a try... i am 115 lbs, 26.5 ion waist, 30dd and xs petite was great everywhere but chest.,,,
,,,,,,,,,,,,
colors and fabric are great," i love that the different colors are different types of fabric... too bad."";3;1;1;General Petite;Dresses;Dresses",,,,,,,,,,,
425;872;22;Love the lace up design!;I love the lace up design and bought the red xsp, fabric is a bit thin and mediocre quality, but over all happy with purchase. wish this top came in navy and white as well. even a navy/white stripe would be a fun option too. thanks you for offering this top in a petite size. :);4;1;1;General;Tops;Knits,,,,,,,,,,
426;1083;50;;;5;1;0;General;Dresses;Dresses,,,,,,,,,,,,
427;829;33;Disappointed;I got this shirt in the mail today and was really excited to try it on. other reviewers said that it ran large so i ordered a size down and it fit perfect. i looked in the mirror and noticed the ruffles were misaligned and obviously so. i want to exchange it in the store but seeing that the size is not longer available online, i'm not really sure i'll find another one in my size.;4;1;0;General;Tops;Blouses,,,,,,,,,,,
428;964;33;Very chic;I love this jacket over a dress! it's snug fitting so can't wear anything bulky under it, but super stylish and comfy stretchy material. it's a bit pricey but i get a lot of wear out of it so worth it to me.;5;1;0;General;Jackets;Jackets,,,,,,,,,,,
429;1089;38;;I'm 5'1 and 110 lbs.  i ordered this in a xsp and i could barely zip it up.  and when i did i couldn't breathe. i tried again and ordered a sp and it's perfect! now i just need somewhere to wear it.;5;1;0;General Petite;Dresses;Dresses,,,,,,,,,,,,
"430;829;32;;""Beautiful shirt"," hits me a little higher. i'm not sure i'm going to keep it just because i have something similar but its a beautiful top. i'm 5'6"""" and carrying a little extra baby weight right now so i'm an 8-10 instead of my usual 6-8. i ordered an 8 and it fit well."";5;1;0;General;Tops;Blouses",,,,,,,,,,,
431;829;51;Beautiful and versatile top!;I love this blouse because it's great for work with cardigan over it, and great for going out with skirt, pants or jeans. it is tts and very flattering, light weight, and comfortable.;5;1;0;General;Tops;Blouses,,,,,,,,
432;967;56;So pretty and soft;I happened upon this in my local store despite the fact that it is an online exclusive. i love finding returns so i can see them in person. i loved the soft colors right away. my hesitation was the standup collar but it actually folds down just fine and gives the vest lapels too. it also looks nice belted, left slightly open. i usually wear small or xs in tops and the small fits nicely. it doesn't need to close since there are no built-in fasteners. i will wear it with a long button down shirt o;5;1;1;General;Jackets;Jackets,,,,,,,,,,,
"433;829;38;Great for work or fun;""I found this to fit tts. i sometimes wear petite", but found the petite sizing to be a little off. i have a pretty short torso," but found the petite to be too short. i opted for the regular sizing and got a 6; it fits great. this top is great for work (styled with a cardigan or blazer) or for play. i can see it dressing up or down very easily."";4;1;2;General;Tops;Blouses",,,,,,,,,,
"434;829;35;Perfect shirt for work or night out.;""I ordered the mustard yellow in 10 and found the shirt to fit true to size. it works great with a skirt and with jeans but i did need to wear it with high rise jeans otherwise it came right to the top of my normal jeans and i didn't want to risk showing any skin at work. ",,,,,,,,,,,,
,,,,,,,,,,,,
the color is amazing and looks good with just about any color bottom so there is a lot of room to have fun with the top. ,,,,,,,,,,,,
,,,,,,,,,,,,
being larger on top the ruffles did not bother me at all," but rather act like an accessory - i find"";4;1;0;General;Tops;Blouses",,,,,,,,,,,
"435;872;48;Flattering tee;""I just tried this top in red in xs and i think it's cute. it's fairly fitted in my opinion; the sleeves are pretty snug but there's stretch to them. i was fine with the fabric and the size xs (i'm ~105 lbs", 34aa) even though sometimes i fit better in xspetite. the only downside is that the washing instructions say to remove the tie before machine washing, and i guess that put me off a little (the idea of re-lacing it every time). so i haven't yet bought it. the red is vibrant," tomato red and the"";4;1;19;General;Tops;Knits",,,,,,,,,
436;872;31;;The cut of this shirt is lovely and well thought out, the opening for the arm are not too big like some other shirts. i liked the material and the melon/ salmon color which i ordered was more vibrant in person. this does run large so i wished i had ordered one size down.;4;1;0;General;Tops;Knits,,,,,,,,,,,
"437;149;38;So soft and comfy and fit for yoga!;""5'6"""" 113lbs purchased size small in rich navy. so soft and comfy and i like that the cuffs help the pants not ride (even during sleep). i like that the fit is slim but not constricting on legs as all my yoga pants. tested this at my local vinyasa class and it held up without making me too hot (and i sweat a lot).",,,,,,,,,,,,
,,,,,,,,,,,,
"my biggest complaint is that the fabric pills right out of the packaging. actually their tag says the fabric does this and over time will continue to do this more and more because of i"";4;1;1;Initmates;Intimate;Lounge",,,,,,,,,,,,
438;964;58;Funky and classy;Great looking jacket with attitude. the color is more like a faded black or deep charcoal grey. i'm usually a large petite but this is snug in the chest. luckily it's a knit so i can make it work by zipping it partway and leaving the top half open.;5;1;4;General;Jackets;Jackets,,,,,,,,,,,,
"439;1030;63;Really cute!;""These jeans are so cute! they are perfect for petites too! i am fit"," look way younger than my age and get so many compliments when i wear these jeans. i'm. i'm 5'2"""""," 115 libs and they definitely fit tight in a good way. just like the photo pretty much. they are not small like the white mother ankle fray jeans for sale on the site now. those definitely run smaller so these are true to size with a tight fit."";5;1;1;General;Bottoms;Jeans",,,,,,,,,,
440;964;40;Love. this. jacket.;I live in los angeles and this is the perfect beginning of fall jacket! i've worn it with dresses and with jeans. definitely has enough extra room to slip a hoodie or small seater on underneath when it gets colder. it's soft and stylish. the only downside is that the pockets aren't really deep enough to put anything in.;5;1;5;General;Jackets;Jackets,,,,,,,,,,,,
"441;1083;41;Bunches up weirdly in the front;""I loved this dress as soon as i tried it on", but... it bunched up weird in the front around my hips. i ordered a second size 4," hoping that it would fit better. but same thing. if i tried to go to a size 6 it would be too big every where else. fyi - i'm 5'8"""" 129lbs and i'm a runner. it's not like i have a huge backside or anything. my guess is sizing is off. i've tried another of his dresses and it fit perfectly."";4;0;0;General;Dresses;Dresses",,,,,,,,,,
442;872;60;Cute top;I really like this top. it's super cute - perfect for a football game or fairly casual event. the material is ribbed and is thick enough that you can't see through. i purchased this top in red and initially in petite but ended up returning it for the regular size. i love this top!;4;1;1;General;Tops;Knits,,,,,,,,,,,,
443;872;60;Red tee;Nice tee, true red,3/4 sleeves, lacing is a nice touch. good quality and great sale price.;5;1;1;General;Tops;Knits,,,,,,,,,
444;829;48;Undecided;Feminine and lovely flutters indeed. i am on the fence. i ordered in a petite - had to size down - and something about bust and arm holes not completely right. given the light and airiness of this tank it does not seem right to have to wear a camisole underneath which is what it would need for work wear.;4;1;6;General;Tops;Blouses,,,,,,,,,,,,
"445;872;70;Great casual shirt;""Very nice casual", inexpensive shirt and the laced neckline is great....not too revealing and easily worn tied ,,,,,,,,,,,
without looking prudish. and of course," open as well"";4;1;0;General;Tops;Knits",,,,,,,,,,,
446;964;27;So much better irl;When i ordered this little jacket i knew i would like it, upon arrival i fell in love. it is a little edgy with leather detailing and with stretch in all the right places, the crop is super flattering. appeared online to be a bit more of a sweatshirt material but it has so much structure and holds its shape!;5;1;0;General;Jackets;Jackets,,,,,,,,,,
447;1089;32;;I'm usually an xs for most retailer dresses and shirts. i ordered up per other reviews and got a small. the small fits comfortably around my waist. the chest area is not made for large chests. my 34ds were barely contained. sad to say, i won't be keeping the dress. the layers, fabric, and colors are truly pretty but the design/fit is disappointing.;3;1;0;General Petite;Dresses;Dresses,,,,,,,,,
448;872;26;Ultimately unimpressed;I really like how this looks on the model, but in real life this top is much tighter. i was hoping for a good layering top and have been playing around with the trend of lace up tops. i bought it without trying on figuring a small would work, but it was much too tight and the lace top reminded me of vans shoes. i returned it, a girl much tinier than myself has it and it is very cute on her. so, best works on a model body type figure than someone with even slight hips.;3;0;3;General;Tops;Knits,,,,,,,,
449;872;51;Vibrant red color;I got this shirt in red and black. both colors vibrant and material of shirt is nice cotton blend. will get lots of use from both shirts.;5;1;1;General;Tops;Knits,,,,,,,,,,,,
450;872;48;Love;This is the most flattering shirt--love the fit and color!;5;1;0;General;Tops;Knits,,,,,,,,,,,,
"451;1077;30;Looks fine if you don't move your arms.;""Three strikes and retailer is out for me! i am so disappointed. i really liked this dress and was looking for a fun", distinctive new shift dress. got it, tried it on, took it off, went back to look at the listing online...nowhere does it mention that it has a drop-seam in the shoulders. i guess you can see it if you zoom in closely on the image," but it's not mentioned in the text. who on god's green earth actually looks good with a drop-shoulder?! it hits every woman under 5'10"""" right in the middl"";2;0;0;General;Dresses;Dresses",,,,,,,
452;967;56;Great plaid!;This vest is very warm and soft. it is actually a fleece that almost appears as wool. the plaid is beautiful-a pretty soft pink with the black and charcoal colors. i ordered a size large and the fit is okay. an xl would have been too big under the arms and in the bust area however, i would have liked it a little looser in the bottom half. i kept the large as there is no closure to the vest. it just hangs open.;4;1;1;General;Jackets;Jackets,,,,,,,,,,,
"453;872;27;In love with this shirt;""I love this shirt so much that i've now bought it in 2 colors -- the olive green and the red. probably would have bought it in black too if i didn't already have enough black shirts. it's both a plain and simple tee", but with the fun lace-up detail at the neckline that keeps it from being boring.,,,,,,,,,,,
,,,,,,,,,,,,
it runs true to size but is very fitted. however, due to the thickness of the material, i didn't feel like any unflattering bumps or lumps were being highlighted," despite how close the shirt fit to my"";5;1;2;General;Tops;Knits",,,,,,,,,
454;964;44;Perfection.;Don't try this on, if you don't plan to buy it. it feels amazing!!! i bought the black and it is a lovely charcoal color and matches so much.;5;1;1;General;Jackets;Jackets,,,,,,,,,,,
455;872;39;Perfect!;I like the lace-up trend, but most designs are too revealing. this shirt is super sexy, but not immodest. i bought it in black and am now buying another color. to me, the fabric feels soft and thick, very nice.;5;1;2;General;Tops;Knits,,,,,,,,
456;234;33;;;5;1;0;Initmates;Intimate;Swim,,,,,,,,,,,,
"457;149;33;The most comfortable pants ever;""I have these pants in navy and they're amazing! i cuff the hem in half and they look like joggers. they're ridiculously comfortable and tts but are not very thick so i'm pretty sure ivory would be see through; especially if you wear them during practice."";4;1;0;Initmates;Intimate;Lounge",,,,,,,,,,,,
"458;829;60;Perfect top for work;""I got this top in navy and i love it. it's loose and flowy and comfortable"," yet dressy enough to wear for work (or dress down with jeans). i'm 5'4""""", 125lbs and the 6 was a bit large on me. i could've sized down a little but i actually liked the loose fit," and the length was long enough to tuck in if i wanted to. definitely recommend."";4;1;0;General;Tops;Blouses",,,,,,,,,
459;829;44;Overall, i like it, but some sizing issues...;I purchased the navy in this top and i really like the design and the style for the price (i believe the navy is on sale). my issue is that i do have to wear either a camisole or a little bralette or bandeau or something under it because it is too low cut in the front on me and the arm holes are ridiculously large. i might have been better off sizing down, but i bought it online, so i just decided to live with it. pretty top, though i do think it runs large.;4;1;0;General;Tops;Blouses,,,,,,,
"460;872;71;;""Great shirt. the neckline is super flattering. the fabric has some weight to it. right now i am in a """"fat stage""""...and it still looked good. it will look even better without the midriff bulge! i bought the shirt in black. i'm thinking of ordering it in red...it's that good."";5;1;0;General;Tops;Knits",,,,,,,,,,,,
461;872;44;;This is a great shirt that goes with everything. it's super sexy and i have to say....the girls look great in it! i bought the black first and went back for the green. the quality of the shirt is great...not cheap and no smell, at least not in my experience,  like was mentioned by another reviewer. i can't say enough about how cute this shirt is!;5;1;6;General;Tops;Knits,,,,,,,,,,
462;850;52;Very pretty," boho chic;""I purchased this blouse because i love a 70's vibe in my tops. it is a beautiful", colorful top, but the colors weren't flattering on me. having said that, the cut is nice, the fabric is lightweight and flows nicely," and the fit was fine on me. i am a curvy 5'5"""" with a 36 c cup. go for it if this is a style you like. one other note", i wish it had been a bit longer," but i am older and prefer a little more coverage. it's just a personal preference. i think the picture is an accurate depiction."";5;1;5;General Petite;Tops;Blouses",,,,
463;850;23;Great too but not for women who have a large bust.;It's hard enough for women to find clothing that will make them look as beautiful as they feel but add a bigger bust size (i'm a 36dd) and it makes it this much harder. i ordered this top because of how beautiful it looked on the model and the price. when it arrived i was so excited! retailer does such a beautiful job with the way they handle their items! it was wrapped beautiful and no damage. i ordered a size 8 knowing that my chest could be a potential problem. the too itself is gorgeous! i did;3;0;1;General Petite;Tops;Blouses,,,,,,,,,,,,
464;724;69;Cute slip but very body hugging;Ordered this in white. it is really nice and sexy but very body hugging and unforgiving. perhaps it is my large stomach, but it hugs a bit too much for my liking. yet i think overall the design is very nice so i am keeping it and hoping i can lose some weight in my tum.;4;1;1;Initmates;Intimate;Intimates,,,,,,,,,,,
465;833;48;Lovely romantic blouse;This is one of those you have to try it on to appreciate the lovely unique design. it is a very unique, flowing, romantic piece. it is sheer and i would wear a nude camisole underneath. i am normally a size small and bought a size 2 (i tried on a 6 in the store just to see what it looked like, fell in love with the look and the retailer associate recommended i buy a size 2). love it!;5;1;0;General;Tops;Blouses,,,,,,,,,
"466;862;35;Extra fabric in back adds a lot;""I got to try this on today and i really like it. the fabric is a normal t-shirt kind of fabric (i was hoping it would have been kind of special) and the v-neck in the front does go down a ways so that some cleavage is showing. i would feel comfortable wearing it as-is outside of work", but would have to pair it with a cami if i would going to wear it to work. normally," i am not a huge fan of v-neck in the back and it drives me crazy thanks cami's these days are often made with a """"versatile"""" v and"";5;1;6;General;Tops;Knits",,,,,,,,,,
467;850;59;;A breath of fresh air. spring flowers! easy to wear. very feminine and flattering. looks great with denim, orange, reds , etc. very happy with this purchase.;5;1;4;General Petite;Tops;Blouses,,,,,,,,,
468;1078;61;Great sweater dress!;Nice fit and flare style, not clingy at all. i got the grey color, petite large, fits perfect. will wear with tights/boots or booties. lots of color options to accessorize with.;5;1;1;General;Dresses;Dresses,,,,,,,,,
"469;850;45;Pretty blouse;""This top is soo pretty with a cool edge.",,,,,,,,,,,,
"it looks and feels like really good quality."";5;1;0;General Petite;Tops;Blouses",,,,,,,,,,,,
470;1104;25;Love, love this flattering dress;This dress is flattering in all the right places. it has a gorgeous skirt with a comfortable, form-fitting top. it provides just the right amount of coverage. i love it so much i bought it in two colors!;5;1;1;General;Dresses;Dresses,,,,,,,,,,
471;1078;33;Cute, but cheap;When i first opened this dress and tried it on i thought it was adorable. it is very flattering on my hourglass figure and hides my recent baby weight. the problem is the hem. it was already rolling up when i took it out of the package, and i should have noticed and returned it, but i figured the problem would be easily solved by a good ironing. well, it wasn't, and it gets worse every time i wash the dress. it's like the hem isn't constructed properly.;3;0;0;General;Dresses;Dresses,,,,,,,
472;984;40;Love it.;I simply love this jacket. it's comfortable, soft and has a relaxed fit that is easy to wear. i wish i had bought mine while it was on sale.;4;1;0;General;Jackets;Jackets,,,,,,,,,,,
473;850;68;Gorgeous top with a hint of pizazz;I love this top! it's easily both day and night-worthy with a splash of sexiness in a front peek-a-boo design. lovely embossed design all over.;5;1;3;General Petite;Tops;Blouses,,,,,,,,,,,,
474;204;30;Else lingerie jardin silk bralette review;This bra is extremely comfortable and surprisingly supportive considering the lack of padding or firm material. it also runs large.;5;1;0;Initmates;Intimate;Intimates,,,,,,,,,,,,
"475;1078;20;Super cute and flattering too;""I love this sweater dress and get compliments every time i wear it.. i bought the navy in size xs. the pattern and colors are just fun and youthful", although you don't have to be young to look good in this dress. the dress is fitted, but the skirt flares, making it flattering if you have hips like me. the material is not too heavy so you can wear this 3 seasons fall, winter," spring. as other reviews have mentioned the dress is short. i am 5'9"""" so it does hit well above my knees. this isn't an is"";5;1;1;General;Dresses;Dresses",,,,,,,
"476;862;42;Poor quality;""I bought this in the white", size m (140lbs.," 5'8""""", 34b) because i wanted a baggy fit, which i got, so this is tts. the white is more of an off-white rather than a bright white, which i like because i happen to be looking for an off-white tee. and the shape is good--even in a larger size, this tee nips in at the waist.however, the quality of this tee is lacking, as it is the typical, cheap, marled," slightly see-through material that seems to be everywhere these days and the band on the back of th"";2;0;2;General;Tops;Knits"
477;1078;52;Fun dress;Extremely flattering. an easy dress to wear - good choice for both day and evening;5;1;1;General;Dresses;Dresses,,,,,,,,,,,,
"478;984;42;Very cute jacket!;""I took a chance and tried on this jacket today at the store. at first i was worried that it might look boxy on me but as soon as i put it on"," it was love at first sight! it's so cute and very comfy! the sleeves are slightly long on me but that's been a recurrent issue regarding all my jackets. i'm only 5'3"""" about 124 lbs. and it fit me very well. because it's a bit cropped"," it makes me look taller. glad the weather is starting to warm up so i can find more excuses to wear it. i didn't need anoth"";5;1;2;General;Jackets;Jackets",,,,,,,,,,
"479;1008;24;Cute but too large;""Bought this in an xs and i liked the style of the skirt. it was long enough to wear to work. ",,,,,,,,,,,,
"however the waist was too large and would not stay up on my waist. returned."";4;1;0;General;Bottoms;Skirts",,,,,,,,,,,,
480;841;43;Great," but size down.;""I ordered this top in the solid navy. the quality seemed very good"," and my overall impression was favorable. what i liked was that the top stayed off the shoulders even when i was moving. so many of the on-trend """"cold shoulder"""" tops simply do not stay put with even the slightest movement. unfortunately", this top ran quite a bit large. if you are in between sizes - i definitely recommend sizing down. i've not seen the printed floral option," but the dark navy is lovely and looks chic with white bo"";4;1;0;General Petite;Tops;Blouses",,,,,,,,
481;1104;51;Not for the busty;Nice fabric, very versatile but the knit top and style accentuates your bust. probably not an issue for most but if your a d or up it's more attention than you may want.;3;0;0;General;Dresses;Dresses,,,,,,,,,,,
482;850;39;Pretty adn flattering;I tried on the usual xs in the patterned style, and it fit really nicely. the colors are very nice in person, vibrant. teh cut is flatering and gives a nice definition at the waist i also love the lace up neck detailing. the sleeves flutter out, and will give a bit more volume, if i would change something that would be it. i would make the sleeves more fitter or perhaps shirter with the flutter. i am 115 lbs for reference...;5;1;1;General Petite;Tops;Blouses,,,,,,,,
483;1081;39;Love everything about htis dress;I had it on my wish list for a long time, not sure whether i should purchase, i even hesitated when it went on sale, but boy, am i glad i did order it... it is crazy comfortable, flattering, and love that it looks black but is blue... i ordered both xs and xs p and decided to go with the petite as it will look super cute in the fall with boots. not too short (i am 5 foot 1.5)... the fake leather part concerned me at first, but i like it now... nothing bad ot say about it!;5;1;0;General;Dresses;Dresses,,,,,
484;833;39;;I tried this on in store and since my usual size 6 wasn't available i tried on a 4. it was a little snug in the upper sleeves and shoulders but was lovely otherwise. i passed on it and waited for it to go on sale to order it online. i got it in my usual size 6 but it seemed to me like it was 2 sizes bigger than the 4. i have decided to keep it but i just wasn't thrilled with the fit.;4;1;1;General;Tops;Blouses,,,,,,,,,,,,
485;850;57;Manette clipdot blouse;I agree that this blouse is boxy, but because it's not too long in length it evens it out. any longer or shorter would make it look too boxy. it's great for work to dinner during the week & goes great with jeans too.;4;1;0;General Petite;Tops;Blouses,,,,,,,,,,,
486;862;35;Runs large;Soft cotton in very stylish yet simple style. regrettably, i listened to reviews that said it ran tts and ended up w a baggy long one that won't work even if i shrink it. that will teach me-- always order multiple sizes!;4;1;0;General Petite;Tops;Knits,,,,,,,,,,,
487;1078;46;Fun mix of colors in the grey version;I ordered this dress in size xl in the grey/red/yellow combination. i love everything about this dress. it's comfortable. the colors are cheerful. the proportions of where the stripes are placed works. but, i have to return this dress. it's too short for what i'm comfortable wearing. i saw from the photos that this comes mid-thigh on the taller models. i hoped that would mean it would be more knee-length for me. unfortunately, it's just too short and i'd feel self-conscious. i don't want to deal;5;1;1;General;Dresses;Dresses,,,,,,,,,,
488;850;51;So pretty and great style;I had to order this blouse since it is named after the town i live in. it does not disappoint. the flowers are so pretty and it has great style. there is a little piece in the neckline so it is not too revealing. the sleeves are loose and cover the bra strap underneath. the back has a little bit of elastic so it does not look like a maternity shirt and it gives you some shape. i can't wait for it to warm up and to wear this!;5;1;4;General Petite;Tops;Blouses,,,,,,,,,,,,
489;850;39;;Perfect trans top.  skinnies or boyfriend and booties.  love the mixed prints;5;1;0;General Petite;Tops;Blouses,,,,,,,,,,,,
"490;831;55;Retailer like it used to be!;""This top reminds me of the special tops i got """"once upon a time""""...when retailer adopted a more curatorial approach to their store. this is a beautifully-made top...quite dramatic but comfortable. i've received many compliments each time i've worn it. it has wonderful drapery and movement."";5;1;0;General;Tops;Blouses",,,,,,,,,,,,
491;833;42;Lovely;This blouse is so pretty and well made. it will be a new favorite with dark jeans and boots. it is very boho and a lovely blouse to feel dressed up a bit on a jeans day. loose in a flattering way (it does not look like a maternity top). very happy!;5;1;0;General;Tops;Blouses,,,,,,,,,,,,
"492;984;40;Cute jacket;""I love the layered look of this jacket. i got it in navy which matches everything. i think it's a little on the large side for me. i ordered a small. i'm 5'2"""" 130 lbs. super comfortable. the inner layer is very soft. once you wash it"," the outside is soft too. i've already worn mine several times. happy."";4;1;0;General;Jackets;Jackets",,,,,,,,,,,
"493;1078;31;For the shorter girls;""I really wanted to love this dress"," but it was so short! i'm only 5'6"""" so i don't consider myself really tall"," but the dress only came a couple of inches lower than my butt! way too short for me. my husband asked if it was a shirt or dress haha. but i think this would look adorable on someone a few inches shorter. or someone younger who can pull of a short shirt :)"";4;1;4;General;Dresses;Dresses",,,,,,,,,,
494;1104;39;;;5;1;0;General;Dresses;Dresses,,,,,,,,,,,,
"495;1081;59;Flattering and comfortable;""I ordered size small and medium because i can go either way depending on brands. and both look great! there is no significant difference except medium fell about 1 inch longer. i am 5'4"""" and size small hem fell about 1"""" above knee. size medium felt tab bit more loose but i thought fabric may stretch a bit after wear so i'm keeping size small. what a beautiful dress! although the body of dress is jersey material"," it is lined so there is good coverage. i tend to not like """"faux leather"""" since they"";5;1;10;General;Dresses;Dresses",,,,,,,,,,,
496;833;53;Still love it even if...;...there's enough room for a small family to live under the chest and trunk area of the blouse! sorry-had to say that! all kidding aside-since it's been thirty plus years ago since we were wearing these, many of us have forgotten what peasant blouses truly fit like. this is no exception- it is very billowy, flouncy, and roomy-more so even than today's peasant styles, i think. it is lovely and quite fitted across the chest -so that's how i ordered my size and it worked. i think if one sizes down;4;1;0;General;Tops;Blouses,,,,,,,,
497;850;41;Pretty spring flowers;This top is so pretty and feminine. the different floral patterns work very well together and add an interesting flare to this unique blouse. the fit is very comfortable yet still very flattering due to the empire waist and flared sleeves. the fit is true to size, i usually wear a size medium or 10 in retailer tops and the size 10 fit quite nicely. this top is a great addition to any spring wardrobe and should transition nicely into summer as well.;5;1;1;General Petite;Tops;Blouses,,,,,,,,,,,
